id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
16;Hachimitsu to Clover;8.01;J.C.Staff;Comedy, Drama, Romance;Love Polygon, Visual Arts;Josei;PG-13 - Teens 13 or older
67;Basilisk: Kouga Ninpou Chou;7.55;Gonzo;Action, Adventure, Fantasy, Romance, Supernatural;Historical, Samurai;Seinen;R - 17+ (violence & profanity)
15;Eyeshield 21;7.92;Gallop;Sports;Team Sports;Shounen;PG-13 - Teens 13 or older
479;Ueki no Housoku;7.73;Studio Deen;Action, Adventure, Supernatural;Super Power;Shounen;PG-13 - Teens 13 or older
248;Ichigo 100%;6.63;Madhouse;Comedy, Romance, Ecchi;Harem;Shounen;PG-13 - Teens 13 or older
1250;Erementar Gerad;7.25;Xebec;Adventure, Comedy, Fantasy, Romance;Super Power;Shounen;PG-13 - Teens 13 or older
345;Eikoku Koi Monogatari Emma;7.62;Pierrot;Drama, Romance;Historical;Seinen;G - All Ages
738;MÃ„R;7.25;SynergySP;Action, Adventure, Comedy, Fantasy;Isekai;Shounen;PG-13 - Teens 13 or older
1974;Glass no Kamen (2005);8.05;Tokyo Movie Shinsha;Drama;Performing Arts, Showbiz;Shoujo;G - All Ages
8687;Doraemon (2005);7.63;Shin-Ei Animation;Comedy, Sci-Fi;Anthropomorphic;Kids;PG - Children
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
